titles,released,developers,publishers,genres
Impossible Spell Card,2014,Team Shanghai Alice,Team Shanghai Alice,Shooter
In Cold Blood,2000,Revolution Software,"Ubisoft, DreamCatcher Games","Adventure, Indie"
In Memoriam,2003,Lexis Numerique,"Ubisoft, The Adventure Company","Puzzle, Adventure"
In the Groove,2004,Roxor Games,"Roxor Games, RedOctane",Indie
In the Hunt,1997,Kokopeli,Kokopeli,"Role-playing (RPG), Adventure"
Incoming,1998,Rage Software,"Interplay Entertainment, Imagineer","Simulator, Strategy, Indie"
Incoming Forces,2002,Rage Software,Hip Interactive,"Shooter, Arcade"
The Incredible Hulk,2008,Edge of Reality,Sega,"""Hack and slash/Beat em up"""
The Incredible Machine 2,1995,Dynamix,Sierra On-Line,"Puzzle, Strategy"
The Incredibles,2004,Heavy Iron Studios,"THQ, D3, Capcom","Puzzle, Strategy"
The Incredibles: Rise of the Underminer,2005,"Yukes, Pacific Coast Power & Light","THQ, Capcom","Platform, Adventure"
The Incredibles: When Danger Calls,2004,ImaginEngine,THQ,Adventure
Incubation: Time Is Running Out,1997,Blue Byte,Blue Byte,"Strategy, Turn-based strategy (TBS), Tactical"
Independence Day,1997,Radical Entertainment,Fox Interactive,Arcade
Independence War 2: Edge of Chaos,2001,Particle Systems,Infogrames,"Shooter, Simulator"
Indiana Jones and the Emperors Tomb,2003,The Collective,LucasArts,Adventure
Indiana Jones and the Infernal Machine,1999,LucasArts,"LucasArts, THQ","Fighting, Adventure"
Indie Pogo,2018,Lowe Bros. Studios,Lowe Bros. Studios,"Platform, ""Hack and slash/Beat em up"", Indie"
Industry Giant,1998,JoWood Productions,Interactive Magic,Strategy
Industry Giant II,2002,JoWood Productions,JoWood Productions,Strategy
Industryplayer,2007,Thomas Lehnert,Tycoon Sistemas Ltda,Simulator
IndyCar Series,2003,Codemasters,Codemasters,Racing
Infantry,1999,Harmless Games LLC,Sony Online Entertainment,Strategy
Infernal,2007,Metropolis Software,Playlogic International,"Shooter, Role-playing (RPG), Adventure"
Infinity Online,2006,Windysoft,game & game,Role-playing (RPG)
Inherit the Earth,2003,The Dreamers Guild,Wyrmkeep Entertainment,"Point-and-click, Adventure"
Innova Disc Golf,2000,Sundial Interactive,WizardWorks,"Simulator, Sport"
Inquisition,2003,Wanadoo Edition,Wanadoo Edition,"Role-playing (RPG), Tactical, Adventure"
Insane,2000,Invictus Games,Codemasters,Indie
Insaniquarium,2004,Flying Bear Entertainment,PopCap Games,"Shooter, Puzzle, Simulator, Strategy"
Insecticide,2008,"Crackpot Entertainment, Creat Studios, Inc.",Gamecock Media Group,Adventure
Insurgency: Modern Infantry Combat,2007,Insurgency Team,Valve,"Shooter, Tactical"
Intellivision Lives!,1998,Intellivision Productions,Intellivision Productions,"Racing, Simulator, Sport, Strategy, Adventure, Arcade"
Intellivision Rocks,2001,Intellivision Productions,Intellivision Productions,"Shooter, Puzzle, Simulator, Sport"
International Cricket Captain,1998,Empire Interactive,Empire Interactive,Sport
International Cricket Captain 2006: Ashes Edition,2006,"Chris Child, Andy Yau",Xplosiv,Sport
International Cricket Captain 2009,2009,2P Games,Childish Things,Sport
International Cricket Captain III,2007,Empire Interactive,Empire Interactive,"Simulator, Sport"
International Cue Club,2003,Midas Interactive,Midas Interactive,Sport
International Rally Championship,1997,Magnetic Fields,"Interplay Entertainment, THQ, Europress","Racing, Simulator, Sport"
International Superstar Soccer 3,2003,KCEO,Konami,Sport
Interpol: The Trail of Dr. Chaos,2007,TikGames,Sierra Online,"Puzzle, Sport, Adventure"
Interstate 76,1997,Activision,Activision,"Shooter, Racing, Simulator"
Interstate 76 Nitro Pack,1997,Activision,Activision,"Racing, Simulator"
Interstate 82,1999,Activision,Activision,"Shooter, Racing, Simulator"
Iron Grip: Warlord,2008,Isotx,Isotx,"Shooter, Real Time Strategy (RTS), Strategy, Indie"
Iron Man,2008,Artificial Mind and Movement,Sega,Platform
Iron Storm,2002,"4X Studio, Kylotonn","Dreamcatcher Interactive, Wanadoo Edition","Adventure, Indie"
Iron Warriors: T-72 Tank Commander,2004,IDDK/Crazy House,Battlefront.com,"Simulator, Strategy"
Ironclads: American Civil War,2008,Totem Games,Totem Games,"Simulator, Strategy"
Isis,1996,Snow Lion Entertainment,Panasonic Interactive Media,Adventure
Island Xtreme Stunts,2002,Silicon Dreams Studio,Lego Software,"Racing, Sport"
Istaria: Chronicles of the Gifted,2003,Artifact Entertainment,"Artifact Entertainment, Virtrium LLC, Tulga Games, LLC, EI Interactive","Role-playing (RPG), Adventure"
The Italian Job,2001,Pixelogic,"SCi, Global Star Software",Racing
The Italian Job,2003,Climax Group,Eidos Interactive,Racing
Jack Keane,2007,Deck13 Interactive,Strategy First,Adventure
Jack Orlando,2001,TopWare,JoWooD,Adventure
Jack the Ripper,2003,Galilea Games,The Adventure Company,Adventure
Jade Dynasty,2009,Beijing Perfect World,"Perfect World Entertainment, Games-Masters Ltd., Beijing Perfect World","Role-playing (RPG), Strategy, Adventure"
Jade Empire,2005,LTI Gray Matter,"2K Games, Valve","Role-playing (RPG), Adventure"
Jagged Alliance 2,1999,Sir-Tech Canada,TalonSoft,"Role-playing (RPG), Simulator, Strategy, Turn-based strategy (TBS), Tactical"
James Bond 007: Nightfire,2002,"Eurocom, Gearbox Software, Aspyr, JV Games","Electronic Arts, MGM Interactive",Shooter
James Camerons Avatar: The Game,2009,Ubisoft Montreal,Ubisoft,"Shooter, Adventure"
Janes F-15,1998,Janes Combat Simulations,Electronic Arts,Simulator
Janes US Navy Fighters,1996,Electronic Arts,Electronic Arts,Simulator
Janes USAF,1999,Electronic Arts,Electronic Arts,Simulator
Janes WWII Fighters,1998,Janes Combat Simulations,Electronic Arts,Simulator
Jaws Unleashed,2006,Appaloosa Interactive,Majesco Entertainment,"""Hack and slash/Beat em up"""
Jazz Jackrabbit 2,1998,"Orange Games, Epic Games",Gathering of Developers,"Platform, Adventure"
Jeff Waynes The War of the Worlds,1998,Pixelogic ltd.,GT Interactive,"Racing, Real Time Strategy (RTS), Strategy"
Jerusalem: The Three Roads to the Holy Land,2002,Arxel Tribe,Cryo Interactive,Adventure
Jet Moto,1997,Pacific Coast Power & Light,989 Sports,"Racing, Sport"
JetsnGuns,2004,RakeInGrass,"RakeInGrass, Reflexive Entertainment, Stardock",Indie
Jewel Quest,2004,iWin,iWin,Puzzle
JFK: Reloaded,2004,Traffic Software,Traffic Software,"Shooter, Simulator"
Jimmy Neutron vs. Jimmy Negatron,2002,AWE Games,THQ,Puzzle
Jimmy Neutron: Boy Genius,2001,"AWE Games, Big Sky Interactive, Human Soft",THQ,Puzzle
Jimmy Whites 2: Cueball,1999,Awesome Developments,Virgin Interactive,"Simulator, Sport"
Jingai Makyō,2005,Nitroplus,Nitroplus,"Adventure, Visual Novel"
John Deere: American Farmer,2004,Gabriel Entertainment,Destineer,"Real Time Strategy (RTS), Simulator, Strategy"
Joint Operations: Escalation,2004,NovaLogic,NovaLogic,"Shooter, Tactical"
Joint Operations: Typhoon Rising,2004,NovaLogic,NovaLogic,"Shooter, Tactical"
Joint Strike Fighter,1997,Innerloop,Eidos Interactive,"Simulator, Tactical"
Joint Task Force,2006,Most Wanted Entertainment,"HD Publishing, Sierra Entertainment","Real Time Strategy (RTS), Strategy"
Journey to Rooted Hold,2005,Caravel Games,Caravel Games,"Puzzle, Strategy, Adventure, Indie"
The Journeyman Project 2: Buried in Time,1995,Presto Studios,Sanctuary Woods,"Point-and-click, Puzzle, Adventure"
The Journeyman Project 3: Legacy of Time,1998,Presto Studios,Red Orb Entertainment,"Point-and-click, Puzzle, Adventure"
Judge Dredd: Dredd Vs. Death,2003,Rebellion Developments,Evolved Games,Shooter
Juiced,2005,Juice Games,THQ,"Simulator, Strategy, Indie"
Jump n Bump,1998,Brainchild Design,Brainchild Design,Indie
JumpStart 2nd Grade,1996,Knowledge Adventure,Knowledge Adventure,Adventure
JumpStart Adventures 3rd Grade: Mystery Mountain,1996,Knowledge Adventure,Knowledge Adventure,"Puzzle, Quiz/Trivia"
"JumpStart Adventures 5th Grade: Jo Hammet, Kid Detective",1997,Knowledge Adventure,Knowledge Adventure,"Puzzle, Quiz/Trivia"
JumpStart Spy Masters: Max Strikes Back,2001,Knowledge Adventure,Knowledge Adventure,Arcade
Jurassic Park III: Danger Zone!,2001,Knowledge Adventure,Knowledge Adventure,Card & Board Game
Jurassic Park III: Dino Defender,2001,Knowledge Adventure,Knowledge Adventure,Platform
Jurassic Park: Dinosaur Battles,2002,Knowledge Adventure,Knowledge Adventure,Fighting
Jurassic Park: Operation Genesis,2003,Blue Tongue Entertainment,Vivendi Universal,"Simulator, Strategy"
Just Cause,2006,Avalanche Studios,Eidos Interactive,"Shooter, Adventure"
Just Cause 2,2010,Avalanche Studios,Eidos Interactive,"Puzzle, Adventure"
Kaan: Barbarians Blade,2003,Eko Software SARL,DreamCatcher Interactive,Adventure
Kabus 22,2006,Son Işık,VestelMerscom,Adventure
Kane & Lynch: Dead Men,2007,IO Interactive,Eidos Interactive,Shooter
Kao the Kangaroo: Round 2,2005,Tate Interactive,AtariJoWood Productions,Platform
Kara no Shōjo,2008,Innocent Grey,Innocent Grey,"Point-and-click, Adventure, Visual Novel"
Karma II,2009,"Dragonfly, Futureport, Blueside",Dragonfly,"Fighting, Shooter, Role-playing (RPG), Adventure"
Kasparov Chessmate,2003,The Learning Company,Jamdat Mobile,"Strategy, Quiz/Trivia"
Keepsake,2006,Wicked Studios,"The Adventure Company, Lighthouse Interactive","Point-and-click, Puzzle, Adventure, Indie"
Kelly Slaters Pro Surfer,2002,"Treyarch, Babaroga",Activision,Sport
Kidz Sports Basketball,2004,Data Design Interactive,Bold Games,Sport
KiKi KaiKai,2004,MediaKite,Taito Corporation,Shooter
Kill Switch,2003,Namco,Namco,Shooter
Killing Floor,2009,Tripwire Interactive,Tripwire Interactive,Shooter
Killing Time,1996,Studio 3DO,"Studio 3DO, Intrepid Software","Shooter, Adventure"
Kikokugai: The Cyber Slayer,2003,Nitroplus,Nitroplus,Adventure
King of Dragon Pass,1999,"A Sharp, LLC","A Sharp, LLC","Role-playing (RPG), Simulator, Strategy, Turn-based strategy (TBS)"
Kings Bounty: The Legend,2008,Katauri Interactive,1C Company,"Role-playing (RPG), Simulator, Strategy, Turn-based strategy (TBS)"
Kings Quest VII: The Princeless Bride,1995,Sierra Entertainment,Sierra Entertainment,"Point-and-click, Puzzle, Adventure"
Kings Quest: Mask of Eternity,1998,Sierra Studios,Sierra Studios,"Puzzle, Strategy, Adventure"
Kingdom Under Fire II,2010,BLUESIDE Inc.,,"Real Time Strategy (RTS), Role-playing (RPG), Strategy"
Kingpin: Life of Crime,1999,Xatrix Entertainment,Interplay Entertainment,"Shooter, Role-playing (RPG)"
Kiss: Psycho Circus: The Nightmare Child,2000,Third Law Interactive,Gathering of Developers,Shooter
KKND2: Krossfire,1998,Beam Software,Atari,"Real Time Strategy (RTS), Strategy"
kkrieger,2004,.theprodukkt,,Shooter
Knight Online,2004,MGame Corporation,MGame Corporation,Role-playing (RPG)
Knight Rider: The Game,2002,Davilex Games,Davilex Games,"Shooter, Racing"
KnightOut,TBA,2nd Studio,2nd Studio,"Strategy, Indie"
Knights and Merchants: The Peasants Rebellion,2001,Joymania Entertainment,"BlackStar Interactive, Snowball.ru, TopWare Interactive","Real Time Strategy (RTS), Simulator, Strategy"
Knights and Merchants: The Shattered Kingdom,1998,Joymania Entertainment,"Interactive Magic, TopWare Interactive","Real Time Strategy (RTS), Simulator, Strategy"
Knights of Honor,2004,Crytek Black Sea,Sunflowers Interactive Entertainment Software,"Platform, Adventure, Indie"
Knights of the Temple II,2005,TDK Recording Media Europe S.A.,Playlogic International,"Role-playing (RPG), ""Hack and slash/Beat em up"", Adventure"
Knights of the Temple: Infernal Crusade,2004,Starbreeze Studios,TDK Mediactive,"""Hack and slash/Beat em up"", Adventure"
Koala Lumpur: Journey to the Edge,1997,Brøderbund,Colossal Pictures,"Puzzle, Adventure"
Kohan: Immortal Sovereigns,2001,TimeGate Studios,Strategy First,"Real Time Strategy (RTS), Strategy"
Krazy Ivan,1996,Psygnosis,Psygnosis,Shooter
Kudos,2006,Positech Games,Positech Games,"Adventure, Visual Novel"
Kudos 2,2008,Positech Games,Positech Games,"Simulator, Strategy"
Kudos: Rock Legend,2007,Positech Games,Positech Games,"Simulator, Strategy"
Kult: Heretic Kingdoms,2005,"3D People, Merscom",Got Game,"Role-playing (RPG), Adventure, Indie"
Kung Fu Panda,2008,Beenox,Activision,"Platform, Adventure"
Kusari,2005,Leaf,Aquaplus,"Role-playing (RPG), Adventure"
L.A. Rush,2005,Midway Games,Midway Games,Racing
L.A. Noire: The Complete Edition,2011,"Team Bondi, Rockstar Leeds",Rockstar Games,"Shooter, Strategy, Adventure"
LA Street Racing,2006,Invictus Games,Groove Media Inc.,Racing
La-Mulana,2005,GR3 Project,,Platform
The Labyrinth of Time,2004,Wyrmkeep Entertainment Co.,Wyrmkeep Entertainment Co.,"Strategy, Indie"
The Labyrinth Plus! Edition,2001,NonStop Entertainment,Microsoft,"Puzzle, Arcade, Card & Board Game"
Lamplight City,2018,Grundislav Games,Application Systems,Adventure
Land of the Dead: Road to Fiddlers Green,2005,Brainbox Games,Groove Games,Shooter
Lander,1999,Psygnosis,Psygnosis,Indie
Lands of Lore III,1999,Westwood Studios,Electronic Arts,Role-playing (RPG)
Lands of Lore: Guardians of Destiny,1997,Westwood Studios,Virgin Interactive,Role-playing (RPG)
Langrisser II,1994,Masaya Games,NCS,"Role-playing (RPG), Tactical"
Largo Winch: Empire Under Threat,2002,Dupuis,Ubisoft,Adventure
Laser Arena,2000,Trainwreck Studios,ValuSoft,Shooter
Laser Squad Nemesis,2003,Codo Technologies,"Got Game, Merscom","Strategy, Turn-based strategy (TBS), Tactical"
Last Bronx,1996,Sega-AM3,Sega,"Fighting, Arcade"
Last Call,2000,Culter Creative,Simon & Schuster Interactive,"Puzzle, Adventure, Visual Novel"
The Last Express,1997,Smoking Car Productions,"Broderbund, Interplay",Adventure
The Last Remnant,2008,Square Enix,Square Enix,"Role-playing (RPG), Strategy"
Last Train to Blue Moon Canyon,2005,Her Interactive,DreamCatcher,"Point-and-click, Puzzle, Adventure"
La Tale,2006,Actoz Soft,"Actoz Soft, OGPlanet, Gamepot, Shanda, Aeria Games","Puzzle, Indie"
Lauras Happy Adventures,1998,Playmobil Interactive,Ubisoft,Adventure
Law & Order: Dead on the Money,2002,Legacy Interactive,Legacy Interactive,Adventure
Law & Order: Double or Nothing,2003,Legacy Interactive,Vivendi Universal,Adventure
Layers of Fear,2016,Bloober Team,Aspyr,"Adventure, Indie"
Leadfoot,2001,Ratbag Games,Ratbag Games,"Racing, Sport"
League of Legends,2009,Riot Games,"Riot Games, GOA, Tencent Inc.","Music, Platform, Arcade"
Left 4 Dead,2008,Valve,Valve,Shooter
Left 4 Dead 2,2009,Valve,Valve,Shooter
Left Behind: Eternal Forces,2006,Left Behind Games,Left Behind Games,"Real Time Strategy (RTS), Strategy"
Left Behind: Tribulation Forces,2007,Left Behind Games,Left Behind Games,"Real Time Strategy (RTS), Strategy"
Left Behind: Rise of the Antichrist,2010,Left Behind Games,Left Behind Games,"Real Time Strategy (RTS), Strategy"
Legacy of Kain: Defiance,2003,Crystal Dynamics,Eidos Interactive,"""Hack and slash/Beat em up"", Adventure"
Legacy of Kain: Soul Reaver,1999,Crystal Dynamics,Eidos Interactive,Adventure
Legacy of Lunatic Kingdom,2015,Team Shanghai Alice,Team Shanghai Alice,"Shooter, Indie"
The Legend of Heroes: Trails of Cold Steel II,2014,Nihon Falcom,"Nihon Falcom, Xseed GamesNA, NIS AmericaEU",Role-playing (RPG)
The Legend of Mir 2,2001,WeMade Entertainment,Actoz Soft,Role-playing (RPG)
The Legend of Sword and Fairy,1995,Softstar Entertainment Inc.,Softstar Entertainment Inc.,"Role-playing (RPG), Turn-based strategy (TBS)"
Legend of the Crystal Skull,2007,Her Interactive,Her Interactive,"Point-and-click, Adventure"
Legendary,2008,Spark Unlimited,"Gamecock Media Group, SouthPeak Games, Atari","Role-playing (RPG), Strategy, Indie"
Legends of Might and Magic,2001,New World Computing,3DO,Shooter
Legion Arena,2005,Slitherine Strategies,Strategy First,Real Time Strategy (RTS)
Lego Alpha Team,2000,Digital Domain,Lego Media,Puzzle
Lego Chess,1998,Krisalis Software Ltd.,Lego Media,"Strategy, Turn-based strategy (TBS), Card & Board Game"
Lego City Undercover,2017,TT Fusion,Warner Bros. Interactive Entertainment,Adventure
Lego Creator,1998,"THQR Inc., Superscape",Lego Media,Adventure
Lego Creator: Harry Potter,2001,Superscape,Lego Software,Adventure
Lego Creator: Knights Kingdom,2000,"THQR Inc., Superscape",Lego Software,Simulator
Lego Friends,1999,"Ivanoff Interactive A/S, Flipside Ltd.",Lego Media,Racing
Lego Indiana Jones 2: The Adventure Continues,2009,Travellers Tales,LucasArts,"Platform, Puzzle, Adventure"
Lego Indiana Jones: The Original Adventures,2008,Travellers Tales,LucasArts,"Platform, ""Hack and slash/Beat em up"", Adventure"
Lego Island,1997,Mindscape,Mindscape,"Puzzle, Simulator, Sport, Strategy, Adventure"
Lego Island 2: The Bricksters Revenge,2001,Silicon Dreams Studio,Lego Software,"Puzzle, Simulator, Sport, Strategy, Adventure"
Lego Loco,1998,Intelligent Games,Lego Media,Simulator
Lego Marvel Super Heroes 2,2017,TT Games,Warner Bros. Interactive Entertainment,"Puzzle, ""Hack and slash/Beat em up"", Adventure"
The Lego Movie Videogame,2014,"TT Games, TT Fusion",Warner Bros. Interactive,Adventure
Lego Racers,1999,High Voltage Software,Lego Media,"Racing, Arcade"
Lego Racers 2,2001,Attention to Detail,Lego Software,"Racing, Arcade"
Lego Rock Raiders,1999,Data Design Interactive,Lego Media,"Real Time Strategy (RTS), Simulator, Strategy, Adventure"
Lego Star Wars: The Video Game,2005,"Travellers Tales, Griptonite Games, Aspyr Media, Giant Interactive Entertainment","Eidos Interactive, LucasArts","Platform, Adventure"
Lego Star Wars II: The Original Trilogy,2006,Travellers Tales,"LucasArts, TT Games","Platform, Adventure"
Lego Stunt Rally,2000,Intelligent Games,Lego Media,"Racing, Sport"
Lego Universe,2010,NetDevil,NetDevil,Adventure
Legoland,2000,Krisalis Software,Lego Media,"Simulator, Strategy"
Leisure Suit Larry: Box Office Bust,2009,Team17,Codemasters,"Point-and-click, Platform, Racing, Adventure"
Leisure Suit Larry: Love for Sail!,1996,Sierra On-Line,Sierra On-Line,"Point-and-click, Adventure"
Leisure Suit Larry: Magna Cum Laude,2004,High Voltage Software,Sierra Entertainment,Adventure
Lemmings Paintball,1996,Visual Sciences,Psygnosis,"Shooter, Sport, Strategy"
Lemmings Revolution,2000,Psygnosis,Take-Two Interactive,"Puzzle, Strategy"
Lemonade Tycoon,2002,"Hexacto, Jamdat","Airborne, MacPlay, EA Mobile, Broderbund",Simulator
Lemonade Tycoon 2,2004,Jamdat Mobile,MumboJumbo,Simulator
Lemony Snickets A Series of Unfortunate Events,2004,Adrenium Games,Activision,"Platform, Adventure"
Lets Meow Meow!,2003,Yamitsu Tsuushin,"Yamitsu Tsuushin, G-Collections",Adventure
Lets Play Pet Hospitals,2008,Biodroid Productions,Deep Silver,Simulator
Life Goes On,2014,Infinite Monkeys Entertainment,Infinite Monkeys Entertainment,"Platform, Puzzle, Adventure, Indie"
Life Is Strange,2015,Dontnod Entertainment,Square Enix,Adventure
Life Is Strange 2,2018,Dontnod Entertainment,Square Enix,"Point-and-click, Adventure"
Lighthouse: The Dark Being,1996,Sierra On-Line,Sierra On-Line,"Point-and-click, Puzzle, Adventure"
"Lights, Camera, Curses",2008,Her Interactive,"Big Fish Games, Her Interactive",Adventure
Limbo of the Lost,2007,Majestic Studios,Tri Synergy,"Point-and-click, Puzzle, Adventure"
Line of Sight: Vietnam,2003,nFusion,"Infogrames, Atari",Shooter
Lineage,1998,NCsoft,NCsoft,Adventure
Lineage II,2003,NCsoft,NCsoft,"Adventure, Indie"
Lionheart: Legacy of the Crusader,2003,Reflexive Entertainment,Interplay Entertainment,"Role-playing (RPG), Adventure"
Little Big Adventure 2,1997,Adeline Software International,"Electronic Arts, Activision, Virgin Interactive","Platform, Puzzle, Role-playing (RPG), Adventure"
Little Britain: The Video Game,2007,Revolution Studios,Blast! Entertainment Ltd,Arcade
Little Fighter 2,1999,"Marti Wong, Starsky Wong",,"Strategy, Adventure, Indie"
Little Fighter Online,2005,"Marti Wong, Oscar Chu",U1 Technology,Role-playing (RPG)
Littlest Pet Shop,2008,EA Salt Lake,Electronic Arts,Simulator
Live for Speed,2003,LFS Team,LFS Team,"Racing, Simulator"
Lock On: Modern Air Combat,2003,Eagle Dynamics,"Ubisoft, 1C Company",Simulator
Lode Runner 2,1998,Presage Software,GT Interactive,Strategy
Logical Journey of the Zoombinis,1996,Broderbund,Broderbund,Puzzle
London Taxi: Rushour,2008,Data Design Interactive,"Bold Games, Popcorn Arcade",Racing
Longbow Gold,1997,Origin Systems,"Janes Combat Simulations, Electronic Arts",Simulator
Longbow 2,1997,Origin Systems,"Janes Combat Simulations, Electronic Arts",Simulator
The Longest Journey,1999,Funcom,Funcom,"Adventure, Indie"
Lord of the Rings Online: Mines of Moria,2008,"Turbine, Inc.","Turbine, Inc.","Role-playing (RPG), Adventure"
Lord of the Rings Online: Shadows of Angmar,2007,"Turbine, Inc.","Turbine, Inc.",Role-playing (RPG)
Lord of the Rings: Conquest,2009,Pandemic Studios,Electronic Arts,"""Hack and slash/Beat em up"", Adventure"
Lord of the Rings: The Battle for Middle-earth II,2006,EA Los Angeles,EA Games,"Fighting, Real Time Strategy (RTS), Strategy, Adventure"
Lord of the Rings: The Battle for Middle-earth II: The Rise of the Witch-king,2006,EA Los Angeles,EA Games,"Fighting, Real Time Strategy (RTS), Strategy, Adventure"
Lord of the Rings: The Battle for Middle-earth,2004,EA Los Angeles,EA Games,"Fighting, Real Time Strategy (RTS), Strategy, Adventure"
Lord of the Rings: The Fellowship of the Ring,2002,The Whole Experience Surreal Software,Universal Interactive,Adventure
Lord of the Rings: The Return of the King,2003,EA Redwood Shores,Electronic Arts,"""Hack and slash/Beat em up"", Adventure"
Lord of the Rings: War of the Ring,2003,Liquid Entertainment,Sierra Entertainment,"Real Time Strategy (RTS), Role-playing (RPG), Strategy, Tactical"
Lords of EverQuest,2003,Rapid Eye Entertainment,Sony Online Entertainment,"Real Time Strategy (RTS), Strategy, Tactical, Adventure"
Lords of Magic,1998,Impressions Games,Sierra Entertainment,Role-playing (RPG)
Lords of the Realm,1994,Impressions Games,Impressions Games,"Simulator, Strategy, Indie"
Lords of the Realm II,1996,Impressions Games,Sierra Entertainment,Strategy
Lords of the Realm III,2004,Impressions Games,Sierra Entertainment,"Real Time Strategy (RTS), Simulator, Strategy"
Lost Empire,2007,Pollux Gamelabs,Paradox Interactive,"Strategy, Adventure, Indie"
The Lost Mind of Dr. Brain,1994,Sierra Entertainment,Sierra Entertainment,Puzzle
Lost Planet: Extreme Condition,2007,Capcom,Capcom,"Shooter, Platform, Adventure"
Lost Planet 2,2009,Capcom,Capcom,"Shooter, Adventure"
Lost Sphear,2018,Tokyo RPG Factory,Square Enix,"Role-playing (RPG), Adventure"
Lost: Via Domus,2008,Ubisoft Montreal,Ubisoft,"Puzzle, Adventure"
Lotus Challenge,2001,Kuju Entertainment,Ignition Entertainment,Racing
Lovely Girls,1998,Digital Nightmares,Lomax Software,Adventure
Luftwaffe Commander,1999,"Eagle Interactive, R3M Infografica, REM 3D Models Bank","Strategic Simulations, Inc.",Strategy
Lugaru,2005,Wolfire Games,Wolfire Games,Fighting
Lula: The Sexy Empire,1998,"Interactive Strip, cdv Software Entertainment",Take-Two Interactive,"Point-and-click, Simulator"
Lumines,2004,"Q Entertainment, Opus, Fupac","Bandai, Ubisoft, Wild Games",Music
Lunar: Silver Star Story Complete,1999,DigiCube,DigiCube,Role-playing (RPG)
Lunia: Record of Lunia War,2007,allm,"Nexon, CDC Games USA, Chinese Gamer",Role-playing (RPG)
Lupinball,2017,Craftven,Craftven,"Sport, Strategy, Indie"
Lux,2002,Sillysoft Games,Sillysoft Games,Role-playing (RPG)
Luxor,2005,MumboJumbo,MumboJumbo,"Point-and-click, Platform, Puzzle, Adventure"
Luxor 2,2006,MumboJumbo,MumboJumbo,Puzzle
Luxor 3,2007,MumboJumbo,MumboJumbo,Puzzle
Luxor: Quest for the Afterlife,2008,MumboJumbo,MumboJumbo,Puzzle
M.I.A.: Mission in Asia,2011,Burut Software,GFI,Shooter
M1 Tank Platoon II,1998,Microprose,Microprose,"Simulator, Strategy"
Mabinogi,2004,devCAT,Nexon,"Strategy, Adventure"
Mace Griffin: Bounty Hunter,2004,Warthog Games,Vivendi Universal,Shooter
Machine Hunter,1997,Eurocom Entertainment Software,MGM Interactive,Strategy
Machines,1999,Charybdis Limited,Acclaim Entertainment,Racing
Mad Dog II: The Lost Gold,2003,"American Laser Games, Inc.",Selectsoft Publishing,"Shooter, Arcade"
Mad Tracks,2006,Load Inc.,Micro Application,Racing
Mad Trax,1998,RayLand Interactive,Project Two Interactive BV,Racing
Madagascar,2005,Toys for Bob,Activision,Adventure
Madden NFL 96,1995,EA Tiburon,EA Sports,"Simulator, Sport"
Madden NFL 97,1996,EA Tiburon,EA Sports,Sport
Madden NFL 98,1997,EA Tiburon,EA Sports,Sport
Madden NFL 99,1998,EA Tiburon,EA Sports,"Simulator, Sport"
Madden NFL 2000,1999,EA Tiburon,EA Sports,"Simulator, Sport"
Madden NFL 2001,2000,EA Tiburon,EA Sports,"Simulator, Sport"
Madden NFL 2002,2001,"EA Tiburon, Budcat Creations",EA Sports,Sport
Madden NFL 2003,2002,EA Tiburon,EA Sports,"Simulator, Sport"
Madden NFL 2004,2003,EA Tiburon,EA Sports,"Simulator, Sport"
Madden NFL 2005,2004,EA Tiburon,EA Sports,"Simulator, Sport"
Madden NFL 06,2005,EA Tiburon,EA Sports,"Simulator, Sport"
Madden NFL 07,2006,"EA Tiburon, EA Canada",EA Sports,"Simulator, Sport"
Madden NFL 08,2007,EA Tiburon,EA Sports,"Simulator, Sport"
Madden NFL 19,2018,EA Tiburon,EA Sports,Sport
Madden NFL 20,2019,EA Tiburon,EA Sports,Sport
Made Man,2007,SilverBack Studios,Mastertronic,Shooter
Maelstrom,2007,KD Vision,Codemasters,Role-playing (RPG)
Maestro,2004,Mike Oldfield,Mike Oldfield,"Music, Platform"
Mafia II,2010,2K Czech,2K Games,Adventure
MageSlayer,1997,Raven Software,GT Interactive,"""Hack and slash/Beat em up"""
Magicka,2011,Arrowhead Game Studios,Paradox Interactive,Adventure
Magic and Mayhem,1998,Mythos Games,"Virgin Interactive, Bethesda Softworks",Strategy
Magic: The Gathering,1997,MicroProse,MicroProse,Turn-based strategy (TBS)
Magic: The Gathering: BattleMage,1997,,Acclaim Entertainment,Real Time Strategy (RTS)
Magic: The Gathering – Battlegrounds,2003,Secret Level,Atari,"Fighting, Real Time Strategy (RTS)"
Magic: The Gathering – Duels of the Planeswalkers,2009,Stainless Games,Wizards of the Coast,Card & Board Game
Magic: The Gathering Online,2002,"Leaping Lizard Software, Wizards of the Coast",Wizards of the Coast,Card & Board Game
Mahjong Tales: Ancient Wisdom,2007,Creat Studios,"Creat Studios, TikGames",Puzzle
Majestic,2001,Anim-X,Electronic Arts,Shooter
Majesty: The Fantasy Kingdom Sim,2000,Cyberlore Studios,Hasbro Interactive,"Real Time Strategy (RTS), Simulator, Strategy"
Majesty: The Northern Expansion,2001,Cyberlore Studios,Infogrames,"Real Time Strategy (RTS), Simulator, Strategy, Adventure"
Majesty 2: The Fantasy Kingdom Sim,2009,1C:Ino-Co,Paradox Interactive,"Real Time Strategy (RTS), Simulator, Strategy"
